left_id,right_id,relation,decision,canonical_id,reason,evidence_source_ids,migration
camera-wide24,camera-closewide24,same focal cue with distance qualifier,retain-distinct-pending,,The close-wide wording adds a physically close subject-distance effect; confirm with a fixed-scene pair before making a bundle.,local.skill.camera;web.adobe.focal-length;web.openai.image-prompting,manual-choice
camera-wide35,camera-closewide35,same focal cue with distance qualifier,retain-distinct-pending,,The close-wide wording adds a physically close subject-distance effect; confirm with a fixed-scene pair before making a bundle.,local.skill.camera;web.adobe.focal-length;web.openai.image-prompting,manual-choice
composition-hero,composition-widekey,partial hierarchy/context overlap,retain-distinct-pending,,Hero names subject dominance; widekey names environmental context. The distinction needs a practical comparison.,local.skill.composition;web.adobe.perspective,retain
composition-social,composition-tight,partial mobile-read overlap,retain-distinct-pending,,Social adds copy-safe negative space and low clutter; tight adds immediate crop. Keep separate until examples show the difference.,local.skill.composition;web.openai.image-prompting,manual-choice
composition-editorial,look-editorial,same word in different field,retain-namespaced,,Composition controls asymmetry/depth/placement; look controls finish and visual attitude.,local.skill.composition;local.skill.looks,retain
composition-fashion,look-fashion,same word in different field,retain-namespaced,,Composition controls body lines/crop; look controls fashion finish and styling.,local.skill.composition;local.skill.looks,retain
composition-lifestyle,look-lifestyle,same word in different field,retain-namespaced,,Composition controls interaction/placement; look controls lifestyle finish.,local.skill.composition;local.skill.looks,retain
lighting-highkey,look-cleanblue,partial bright-clean overlap,retain-distinct,,High-key is key/exposure/shadow behavior; clean-blue is palette and setting language.,local.skill.lighting;local.skill.looks,retain
lighting-hardflash,lighting-onflash,related flash directions,retain-distinct-pending,,Hardflash describes a broad hard-flash character; onflash specifies on-camera placement and falloff.,local.skill.lighting;web.openai.image-prompting,manual-choice
look-commercial,look-campaign,partial finish overlap,retain-distinct-pending,,Commercial is polished advertising finish; campaign adds art-directed brand-use intent only if visible cues can be specified.,local.skill.looks;web.meigen.prompt-library,manual-choice
look-commercial,preset-commercial,atom-versus-composite,retain-both,,The look is one finish axis; the preset is a six-atom recipe spanning camera, angle, composition, light, finish, and depth.,local.skill.looks;local.skill.presets,retain
look-cleanblue,preset-cleanblue,atom-versus-composite,retain-both,,The palette atom can be selected independently; the preset adds a different depth and the rest of the commercial recipe.,local.skill.looks;local.skill.presets,retain
preset-commercial,preset-cleanblue,nearly identical preset sets,retain-distinct-pending,,Both share focal, angle, hierarchy, and high-key structure; clean-blue changes palette and depth. Require a use-facing comparison before acceptance.,local.skill.presets;web.openai.image-prompting,manual-choice
preset-social-ad,preset-dynamic,partial foreground-depth overlap,retain-distinct-pending,,Social is mobile hierarchy/negative space; dynamic is foreground occlusion and energetic perspective.,local.skill.presets;local.skill.composition,manual-choice
preset-fashion,preset-luxury,shared 85mm cue only,retain-distinct,,Fashion is pose/beauty/crop led; luxury is negative-space/gradient/material led.,local.skill.presets;local.skill.looks,retain
dof-deep,focus-scene,different axes with related outcome,retain-namespaced,,Depth controls near/far sharpness; focus target controls what receives priority. They can coexist.,local.skill.depth;web.openai.image-prompting,retain
route-style,route-tone,partial transfer scope overlap,retain-distinct-pending,,Style can transfer medium/material/atmosphere and finish; tone is narrower palette/light/contrast/material/mood transfer.,local.snippets.tone;local.prompting-strategy;web.openai.image-prompting,manual-choice
route-fix,route-lock,operation-versus-constraint,retain-both,,Fix names the change; lock names the preservation rule. One should not absorb the other.,local.snippets.surgical;local.skill.camera,retain
route-remove,route-clean,target scope difference,retain-distinct,,Remove targets one named item; clean can remove multiple clutter categories while preserving architecture.,local.snippets.remove;local.skill.composition,retain
route-swap,route-product,generic-versus-product-specific operation,retain-both,,Swap is a generic reference operation; product adds silhouette, packaging, labels, branding, and integration constraints.,local.snippets.tone;local.snippets.remove;web.openai.image-prompting,retain
pattern-marked-area,route-fix,marked-input versus operation,retain-both,,The pattern adds an authoritative region/guide; fix describes the change. A future recipe can compose both.,local.snippets.surgical;web.openai.image-prompting,retain
pattern-reference-roles,route-swap,reference assignment versus operation,retain-both,,Role assignment says how inputs are used; swap says what changes. They remain separate structures.,local.snippets.tone;web.openai.image-prompting,retain
render-final,render-web-hq,delivery scope difference,retain-distinct,,Final is a production-quality intention; web-hq is a backend-specific native-quality cue without an exact pixel claim.,local.skill.presets;web.openai.image-prompting,retain
camera-natural50,cam:50,explicit alias,alias,atom.camera.focal.natural50,The canonical spelling is cam:natural50 and cam:50 remains a searchable alias.,local.skill.camera,redirect
camera-portrait85,cam:85,explicit alias,alias,atom.camera.focal.portrait85,The canonical spelling is cam:portrait85 and cam:85 remains a searchable alias.,local.skill.camera,redirect
route-hq,hq:,explicit alias,alias,edit.quality-restoration,The canonical route is hq while hq: remains a legacy alias.,local.snippets.hq,redirect
